Timestamp	Setpoint	Temperature	Error	Sum	ProportionalFactor	IntegralFactor	DerivativeFactor	Control	LastCurrentMeasurement
2518339	2430	2529	99	60100	9900	6010	0	15910	15821
3518337	2430	2529	99	60100	9900	6010	0	15910	15821
4518335	2430	2529	99	60100	9900	6010	0	15910	15820
5518334	2430	2529	99	60100	9900	6010	0	15910	15820
6518333	2430	2529	99	60100	9900	6010	0	15910	15816
7518333	2430	2529	99	60100	9900	6010	0	15910	15816
8518332	2430	2529	99	60100	9900	6010	0	15910	15818
9518332	2430	2529	99	60100	9900	6010	0	15910	15818
518332	2430	2529	99	60100	9900	6010	0	15910	15818
1518327	2430	2529	99	60100	9900	6010	0	15910	15815
2518324	2430	2529	99	60100	9900	6010	0	15910	15818
3518323	2430	2529	99	60100	9900	6010	0	15910	15821
4518321	2430	2529	99	60100	9900	6010	0	15910	15818
5518320	2430	2529	99	60100	9900	6010	0	15910	15818
6518319	2430	2528	98	60100	9800	6010	-1000	14810	16814
7518324	2430	2529	99	60100	9900	6010	1000	16910	14725
8518328	2430	2528	98	60100	9800	6010	0	15810	15717
9518328	2430	2528	98	60100	9800	6010	0	15810	15717
518328	2430	2528	98	60100	9800	6010	0	15810	15714
1518324	2430	2528	98	60100	9800	6010	0	15810	15719
2518321	2430	2528	98	60100	9800	6010	0	15810	15718
3518319	2430	2528	98	60100	9800	6010	0	15810	15720
4518318	2430	2528	98	60100	9800	6010	0	15810	15720
5518317	2430	2528	98	60100	9800	6010	0	15810	15721
6518348	2430	2528	98	60100	9800	6010	0	15810	15719
7518347	2430	2528	98	60100	9800	6010	0	15810	15723
8518347	2430	2528	98	60100	9800	6010	0	15810	15719
9518347	2430	2528	98	60100	9800	6010	0	15810	15723
518347	2430	2528	98	60100	9800	6010	0	15810	15717
